"id","tournament_title","tournament_link","tournament_year","tournament_start_date","last_update"
186,Kitzbuhel,/en/scores/archive/kitzbuhel/319/2017/draws?matchtype=singles,2017,2017-07-31 00:00:00,2020-09-29 11:18:46
187,ATP Masters 1000 Canada,/en/scores/archive/montreal/421/2017/draws?matchtype=singles,2017,2017-08-07 00:00:00,2020-09-29 11:18:49
188,ATP Masters 1000 Cincinnati,/en/scores/archive/cincinnati/422/2017/draws?matchtype=singles,2017,2017-08-13 00:00:00,2020-09-29 11:18:52
189,Winston-Salem,/en/scores/archive/winston-salem/6242/2017/draws?matchtype=singles,2017,2017-08-20 00:00:00,2020-09-29 11:18:55
190,US Open,/en/scores/archive/us-open/560/2017/draws?matchtype=singles,2017,2017-08-28 00:00:00,2020-09-29 11:19:00
191,St. Petersburg,/en/scores/archive/st-petersburg/568/2017/draws?matchtype=singles,2017,2017-09-18 00:00:00,2020-09-29 11:19:02
192,Metz,/en/scores/archive/metz/341/2017/draws?matchtype=singles,2017,2017-09-18 00:00:00,2020-09-29 11:19:04
194,Chengdu,/en/scores/archive/chengdu/7581/2017/draws?matchtype=singles,2017,2017-09-25 00:00:00,2020-09-29 11:19:06
195,Shenzhen,/en/scores/archive/shenzhen/6967/2017/draws?matchtype=singles,2017,2017-09-25 00:00:00,2020-09-29 11:19:09
196,Beijing,/en/scores/archive/beijing/747/2017/draws?matchtype=singles,2017,2017-10-02 00:00:00,2020-09-29 11:19:11
197,Tokyo,/en/scores/archive/tokyo/329/2017/draws?matchtype=singles,2017,2017-10-02 00:00:00,2020-09-29 11:19:12
199,Moscow,/en/scores/archive/moscow/438/2017/draws?matchtype=singles,2017,2017-10-16 00:00:00,2020-09-29 11:19:18
200,Antwerp,/en/scores/archive/antwerp/7485/2017/draws?matchtype=singles,2017,2017-10-16 00:00:00,2020-09-29 11:19:20
201,Stockholm,/en/scores/archive/stockholm/429/2017/draws?matchtype=singles,2017,2017-10-16 00:00:00,2020-09-29 11:19:21
202,Vienna,/en/scores/archive/vienna/337/2017/draws?matchtype=singles,2017,2017-10-23 00:00:00,2020-09-29 11:19:23
203,Basel,/en/scores/archive/basel/328/2017/draws?matchtype=singles,2017,2017-10-23 00:00:00,2020-09-29 11:19:25
204,ATP Masters 1000 Paris,/en/scores/archive/paris/352/2017/draws?matchtype=singles,2017,2017-10-30 00:00:00,2020-09-29 11:19:28
206,Nitto ATP Finals,/en/scores/archive/nitto-atp-finals/605/2017/draws?matchtype=singles,2017,2017-11-12 00:00:00,
207,ATP Cup,/en/scores/archive/atp-cup/8888/2020/draws?matchtype=singles,2020,2020-01-03 00:00:00,
224,ATP Masters 1000 Indian Wells,/en/scores/archive/indian-wells/404/2020/draws?matchtype=singles,2020,2020-03-12 00:00:00,
225,ATP Masters 1000 Miami,/en/scores/archive/miami/403/2020/draws?matchtype=singles,2020,2020-03-25 00:00:00,
226,Houston,/en/scores/archive/houston/717/2020/draws?matchtype=singles,2020,2020-04-06 00:00:00,
227,Marrakech,/en/scores/archive/marrakech/360/2020/draws?matchtype=singles,2020,2020-04-06 00:00:00,
228,ATP Masters 1000 Monte Carlo,/en/scores/archive/monte-carlo/410/2020/draws?matchtype=singles,2020,2020-04-12 00:00:00,
229,Barcelona,/en/scores/archive/barcelona/425/2020/draws?matchtype=singles,2020,2020-04-20 00:00:00,
230,Budapest,/en/scores/archive/budapest/7648/2020/draws?matchtype=singles,2020,2020-04-20 00:00:00,
231,Munich,/en/scores/archive/munich/308/2020/draws?matchtype=singles,2020,2020-04-27 00:00:00,
232,Estoril,/en/scores/archive/estoril/7290/2020/draws?matchtype=singles,2020,2020-04-27 00:00:00,
233,Geneva,/en/scores/archive/geneva/322/2020/draws?matchtype=singles,2020,2020-05-17 00:00:00,
234,Lyon,/en/scores/archive/lyon/7694/2020/draws?matchtype=singles,2020,2020-05-17 00:00:00,
235,Stuttgart,/en/scores/archive/stuttgart/321/2020/draws?matchtype=singles,2020,2020-06-08 00:00:00,
236,s-Hertogenbosch,/en/scores/archive/s-hertogenbosch/440/2020/draws?matchtype=singles,2020,2020-06-08 00:00:00,
237,London / Queens Club,/en/scores/archive/london/311/2020/draws?matchtype=singles,2020,2020-06-15 00:00:00,
238,Halle,/en/scores/archive/halle/500/2020/draws?matchtype=singles,2020,2020-06-15 00:00:00,
239,Mallorca,/en/scores/archive/mallorca/8994/2020/draws?matchtype=singles,2020,2020-06-21 00:00:00,
240,Eastbourne,/en/scores/archive/eastbourne/741/2020/draws?matchtype=singles,2020,2020-06-22 00:00:00,
241,Wimbledon,/en/scores/archive/wimbledon/540/2020/draws?matchtype=singles,2020,2020-06-29 00:00:00,
242,Newport,/en/scores/archive/newport/315/2020/draws?matchtype=singles,2020,2020-07-13 00:00:00,
243,Bastad,/en/scores/archive/bastad/316/2020/draws?matchtype=singles,2020,2020-07-13 00:00:00,
244,Los Cabos,/en/scores/archive/los-cabos/7480/2020/draws?matchtype=singles,2020,2020-07-20 00:00:00,
245,Umag,/en/scores/archive/umag/439/2020/draws?matchtype=singles,2020,2020-07-20 00:00:00,
246,Gstaad,/en/scores/archive/gstaad/314/2020/draws?matchtype=singles,2020,2020-07-20 00:00:00,
247,Tokyo Olympics,/en/scores/archive/tokyo/96/2020/draws?matchtype=singles,2020,2020-07-25 00:00:00,
248,Atlanta,/en/scores/archive/atlanta/6116/2020/draws?matchtype=singles,2020,2020-07-27 00:00:00,
249,ATP Masters 1000 Canada,/en/scores/archive/toronto/421/2020/draws?matchtype=singles,2020,2020-08-10 00:00:00,
250,Washington,/en/scores/archive/washington/418/2020/draws?matchtype=singles,2020,2020-08-14 00:00:00,
252,Winston-Salem,/en/scores/archive/winston-salem/6242/2020/draws?matchtype=singles,2020,2020-08-23 00:00:00,
255,ATP Masters 1000 Madrid,/en/scores/archive/madrid/1536/2020/draws?matchtype=singles,2020,2020-09-13 00:00:00,
257,Hamburg,/en/scores/current/hamburg/414/draws?matchtype=singles,2020,2020-09-21 00:00:00,
258,Metz,/en/scores/archive/metz/341/2020/draws?matchtype=singles,2020,2020-09-21 00:00:00,
259,Laver Cup,/en/scores/archive/laver-cup/9210/2020/draws?matchtype=singles,2020,2020-09-25 00:00:00,
1,Doha,/en/scores/archive/doha/451/2019/draws?matchtype=singles,2019,2018-12-31 00:00:00,2020-09-29 11:03:16
2,Brisbane,/en/scores/archive/brisbane/339/2019/draws?matchtype=singles,2019,2018-12-31 00:00:00,2020-09-29 11:03:39
11,New York,/en/scores/archive/new-york/424/2019/draws?matchtype=singles,2019,2019-02-11 00:00:00,2020-09-29 11:06:38
20,ATP Masters 1000 Miami,/en/scores/archive/miami/403/2019/draws?matchtype=singles,2019,2019-03-20 00:00:00,2020-09-29 11:07:01
33,Stuttgart,/en/scores/archive/stuttgart/321/2019/draws?matchtype=singles,2019,2019-06-10 00:00:00,2020-09-29 11:07:31
