"id","tournament_id","player1_id","player2_id","round_num","winner_id"
249,7,60,94,2,94
250,7,40,175,2,40
251,7,91,176,2,176
252,7,1,102,3,1
253,7,17,41,3,41
254,7,110,103,3,103
255,7,101,61,3,61
256,7,150,37,3,150
257,7,31,47,3,47
258,7,153,154,3,153
259,7,95,39,3,95
260,7,158,25,3,158
261,7,16,9,3,16
262,7,90,8,3,90
263,7,59,167,3,167
264,7,96,6,3,96
265,7,55,171,3,55
266,7,28,94,3,28
267,7,40,176,3,176
268,7,1,41,4,1
269,7,103,61,4,61
270,7,150,47,4,47
271,7,153,95,4,95
272,7,158,16,4,16
273,7,90,167,4,90
274,7,96,55,4,96
275,7,28,176,4,176
276,7,1,61,5,1
277,7,47,95,5,95
278,7,16,90,5,90
279,7,96,176,5,176
280,7,1,95,6,1
281,7,90,176,6,176
282,7,1,176,7,1
283,8,110,34,1,110
284,8,46,29,1,46
285,8,177,108,1,108
286,8,178,82,1,82
287,8,94,34,1,94
288,8,179,180,1,179
289,8,181,7,1,7
290,8,26,21,1,21
291,8,12,182,1,182
292,8,83,183,1,183
293,8,100,184,1,184
294,8,34,103,1,103
295,8,44,160,1,160
296,8,185,76,1,76
297,8,92,68,1,68
298,8,34,24,1,24
299,8,110,46,2,46
300,8,108,82,2,108
301,8,94,179,2,94
302,8,7,21,2,21
303,8,182,183,2,182
304,8,184,103,2,184
305,8,160,76,2,160
306,8,68,24,2,68
307,8,46,108,3,108
308,8,94,21,3,21
309,8,182,184,3,182
310,8,160,68,3,160
311,8,108,21,4,21
312,8,182,160,4,182
313,8,21,182,5,182
314,9,95,34,1,95
315,9,186,187,1,187
316,9,87,71,1,87
317,9,67,27,1,67
318,9,69,34,1,69
319,9,53,36,1,36
